time,total_catch,total_biomass,biomass_inside_MPA,biomass_outside_MPA
0.0,0,400,0,400
1.0,126,319,0,319
2.0,109,254,0,254
3.0,89,206,0,206
4.0,67,174,0,174
5.0,76,140,0,140
6.0,37,134,0,134
7.0,29,145,0,145
8.0,60,119,0,119
9.0,30,122,0,122
10.0,51,103,0,103
11.0,33,100,0,100
12.0,28,104,0,104
13.0,14,116,0,116
14.0,16,130,0,130
15.0,34,130,0,130
16.0,33,128,0,128
17.0,27,141,0,141
18.0,30,139,0,139
19.0,32,135,0,135
20.0,52,123,0,123
21.0,61,99,0,99
22.0,36,89,0,89
23.0,24,87,0,87
24.0,47,64,0,64
25.0,26,53,0,53
26.0,20,55,0,55
27.0,29,43,0,43
28.0,15,40,0,40
29.0,14,34,0,34
30.0,15,36,0,36
31.0,15,28,0,28
32.0,9,29,0,29
33.0,13,28,0,28
34.0,10,28,0,28
35.0,6,34,0,34
36.0,12,32,0,32
37.0,17,25,0,25
38.0,7,25,0,25
39.0,5,30,0,30
40.0,9,29,0,29
41.0,4,37,0,37
42.0,13,39,0,39
43.0,12,38,0,38
44.0,10,43,0,43
45.0,18,41,0,41
46.0,7,47,0,47
47.0,10,48,0,48
48.0,13,47,0,47
49.0,31,34,0,34
50.0,9,33,0,33
51.0,17,28,0,28
52.0,5,35,0,35
53.0,14,34,0,34
54.0,7,32,0,32
55.0,5,37,0,37
56.0,11,39,0,39
57.0,8,41,0,41
58.0,11,43,0,43
59.0,10,51,0,51
60.0,9,54,0,54
61.0,14,58,0,58
62.0,19,57,0,57
63.0,28,47,0,47
64.0,18,46,0,46
65.0,7,56,0,56
66.0,9,62,0,62
67.0,19,67,0,67
68.0,22,66,0,66
69.0,29,61,0,61
70.0,17,66,0,66
71.0,19,71,0,71
72.0,42,46,0,46
73.0,25,39,0,39
74.0,15,39,0,39
75.0,11,43,0,43
76.0,8,48,0,48
77.0,13,45,0,45
78.0,10,52,0,52
79.0,13,56,0,56
80.0,19,51,0,51
81.0,13,54,0,54
82.0,21,50,0,50
83.0,9,51,0,51
84.0,19,45,0,45
85.0,13,45,0,45
86.0,7,54,0,54
87.0,17,56,0,56
88.0,28,45,0,45
89.0,20,40,0,40
90.0,17,43,0,43
91.0,14,40,0,40
92.0,19,39,0,39
93.0,13,37,0,37
94.0,18,36,0,36
95.0,3,43,0,43
96.0,8,52,0,52
97.0,22,43,0,43
98.0,11,51,0,51
99.0,17,53,0,53
100.0,9,68,0,68
101.0,20,71,0,71
102.0,34,64,0,64
103.0,20,64,0,64
104.0,13,72,0,72
105.0,19,75,0,75
106.0,32,56,0,56
107.0,12,60,0,60
108.0,16,64,0,64
109.0,20,64,0,64
110.0,19,63,0,63
111.0,24,58,0,58
112.0,11,60,0,60
113.0,19,69,0,69
114.0,12,73,0,73
115.0,22,72,0,72
116.0,28,56,0,56
117.0,14,53,0,53
118.0,23,47,0,47
119.0,23,39,0,39
120.0,12,39,0,39
121.0,15,33,0,33
122.0,4,36,0,36
123.0,11,34,0,34
124.0,20,28,0,28
125.0,12,28,0,28
126.0,5,35,0,35
127.0,11,36,0,36
128.0,7,37,0,37
129.0,16,29,0,29
130.0,10,34,0,34
131.0,18,26,0,26
132.0,7,24,0,24
133.0,7,23,0,23
134.0,14,16,0,16
135.0,6,17,0,17
136.0,3,23,0,23
137.0,11,19,0,19
138.0,9,20,0,20
139.0,7,20,0,20
140.0,4,25,0,25
141.0,7,25,0,25
142.0,4,29,0,29
143.0,15,24,0,24
144.0,12,21,0,21
145.0,8,24,0,24
146.0,5,23,0,23
147.0,13,15,0,15
148.0,6,15,0,15
149.0,4,16,0,16
